# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.680000E2	6.800000E1	3.703595E-6
4.680000E2	7.000000E1	3.601381E-6
4.680000E2	7.200000E1	3.468790E-6
4.680000E2	7.400000E1	3.294707E-6
4.680000E2	7.600000E1	3.065117E-6
4.680000E2	7.800000E1	2.763108E-6
4.680000E2	8.000000E1	2.370831E-6
4.700000E2	0.000000E0	1.183061E-5
4.700000E2	2.000000E0	1.181258E-5
4.700000E2	4.000000E0	1.175865E-5
4.700000E2	6.000000E0	1.166936E-5
4.700000E2	8.000000E0	1.154558E-5
4.700000E2	1.000000E1	1.138854E-5
4.700000E2	1.200000E1	1.119980E-5
4.700000E2	1.400000E1	1.098123E-5
4.700000E2	1.600000E1	1.073503E-5
4.700000E2	1.800000E1	1.046367E-5
4.700000E2	2.000000E1	1.016987E-5
4.700000E2	2.200000E1	9.856594E-6
4.700000E2	2.400000E1	9.527050E-6
4.700000E2	2.600000E1	9.184718E-6
4.700000E2	2.800000E1	8.833531E-6
4.700000E2	3.000000E1	8.478337E-6
4.700000E2	3.200000E1	8.126098E-6
4.700000E2	3.400000E1	7.789234E-6
4.700000E2	3.600000E1	7.496251E-6
4.700000E2	3.800000E1	7.335579E-6
4.700000E2	4.000000E1	7.774328E-6
4.700000E2	4.200000E1	1.104430E-5
4.700000E2	4.400000E1	8.280929E-6
4.700000E2	4.600000E1	7.260088E-6
4.700000E2	4.800000E1	6.739663E-6
4.700000E2	5.000000E1	6.421481E-6
4.700000E2	5.200000E1	6.202989E-6
4.700000E2	5.400000E1	6.040831E-6
4.700000E2	5.600000E1	5.913135E-6
4.700000E2	5.800000E1	5.806760E-6
4.700000E2	6.000000E1	5.712321E-6
4.700000E2	6.200000E1	5.621988E-6
4.700000E2	6.400000E1	5.528352E-6
4.700000E2	6.600000E1	5.423682E-6
4.700000E2	6.800000E1	5.299300E-6
4.700000E2	7.000000E1	5.144917E-6
4.700000E2	7.200000E1	4.947859E-6
4.700000E2	7.400000E1	4.692198E-6
4.700000E2	7.600000E1	4.358003E-6
4.700000E2	7.800000E1	3.921452E-6
4.700000E2	8.000000E1	3.357777E-6
4.720000E2	0.000000E0	1.705593E-5
4.720000E2	2.000000E0	1.702952E-5
4.720000E2	4.000000E0	1.695054E-5
4.720000E2	6.000000E0	1.681976E-5
4.720000E2	8.000000E0	1.663848E-5
4.720000E2	1.000000E1	1.640848E-5
4.720000E2	1.200000E1	1.613206E-5
4.720000E2	1.400000E1	1.581198E-5
4.720000E2	1.600000E1	1.545148E-5
4.720000E2	1.800000E1	1.505421E-5
4.720000E2	2.000000E1	1.462422E-5
4.720000E2	2.200000E1	1.416591E-5
4.720000E2	2.400000E1	1.368403E-5
4.720000E2	2.600000E1	1.318377E-5
4.720000E2	2.800000E1	1.267094E-5
4.720000E2	3.000000E1	1.215265E-5
4.720000E2	3.200000E1	1.163899E-5
4.720000E2	3.400000E1	1.114778E-5
4.720000E2	3.600000E1	1.071964E-5
4.720000E2	3.800000E1	1.048043E-5
4.720000E2	4.000000E1	1.109589E-5
4.720000E2	4.200000E1	1.607254E-5
4.720000E2	4.400000E1	1.208121E-5
4.720000E2	4.600000E1	1.056820E-5
4.720000E2	4.800000E1	9.776734E-6
4.720000E2	5.000000E1	9.280935E-6
4.720000E2	5.200000E1	8.933596E-6
4.720000E2	5.400000E1	8.671961E-6
4.720000E2	5.600000E1	8.464000E-6
4.720000E2	5.800000E1	8.290239E-6
4.720000E2	6.000000E1	8.136684E-6
4.720000E2	6.200000E1	7.991666E-6
4.720000E2	6.400000E1	7.844219E-6
4.720000E2	6.600000E1	7.683011E-6
4.720000E2	6.800000E1	7.495452E-6
4.720000E2	7.000000E1	7.266749E-6
4.720000E2	7.200000E1	6.978821E-6
4.720000E2	7.400000E1	6.609104E-6
4.720000E2	7.600000E1	6.129555E-6
4.720000E2	7.800000E1	5.506927E-6
4.720000E2	8.000000E1	4.707101E-6
4.740000E2	0.000000E0	2.374804E-5
4.740000E2	2.000000E0	2.371075E-5
4.740000E2	4.000000E0	2.359923E-5
4.740000E2	6.000000E0	2.341457E-5
4.740000E2	8.000000E0	2.315859E-5
4.740000E2	1.000000E1	2.283382E-5
4.740000E2	1.200000E1	2.244350E-5
4.740000E2	1.400000E1	2.199154E-5
4.740000E2	1.600000E1	2.148255E-5
4.740000E2	1.800000E1	2.092173E-5
4.740000E2	2.000000E1	2.031484E-5
4.740000E2	2.200000E1	1.966818E-5
4.740000E2	2.400000E1	1.898856E-5
4.740000E2	2.600000E1	1.828335E-5
4.740000E2	2.800000E1	1.756086E-5
4.740000E2	3.000000E1	1.683110E-5
4.740000E2	3.200000E1	1.610821E-5
4.740000E2	3.400000E1	1.541682E-5
4.740000E2	3.600000E1	1.481284E-5
4.740000E2	3.800000E1	1.446917E-5
4.740000E2	4.000000E1	1.530157E-5
4.740000E2	4.200000E1	2.256300E-5
4.740000E2	4.400000E1	1.699811E-5
4.740000E2	4.600000E1	1.483797E-5
4.740000E2	4.800000E1	1.368326E-5
